Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

flip_flops_1.jpg: Fila Men Cush Flex Black Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=18653)
sandals_19.jpg: Fila Men Camper Brown Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=20869)
sandals_20.jpg: ADIDAS Men Navy Blue Benton Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Navy Blue, id_dataset=46081)
sandals_21.jpg: Red Tape Men Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=24098)
sandals_22.jpg: Decathlon Men Arpenaz Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=9497)
sandals_23.jpg: Bata Men Hummer Grey Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Olive, id_dataset=41857)
sandals_24.jpg: Lotto Men Ridge Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=33646)
sandals_25.jpg: Estd. 1977 Men Turquoise Blue Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Turquoise Blue, id_dataset=41868)
sandals_26.jpg: Enroute Teens Brown Sandals (articleType=Sandals, usage=Casual, gender=Girls, color=Brown, id_dataset=35545)
sandals_27.jpg: Gliders Men Yellow Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Olive, id_dataset=35589)
sandals_28.jpg: Clarks Men Black Leather Closed Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=57935)
sandals_29.jpg: Enroute Kids Girls Pink Sandals (articleType=Sandals, usage=Casual, gender=Girls, color=Pink, id_dataset=35542)
sandals_30.jpg: Gas Men Aventura Sandal (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=17044)
sandals_31.jpg: Puma Men Black Floater (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=5296)
sandals_32.jpg: Enroute Men Leather Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=16162)
sandals_33.jpg: ADIDAS Men Kendall Black Floater (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=5606)
sandals_34.jpg: Coolers Men Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=44521)
sandals_35.jpg: Franco Leone Men Brown Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=47196)
sandals_36.jpg: Warner Bros Kids White sandals (articleType=Sandals, usage=Casual, gender=Unisex, color=White, id_dataset=40313)
sandals_37.jpg: Lee Cooper Men Brown Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=57506)
sandals_38.jpg: Enroute Teens Orange Sandals (articleType=Sandals, usage=Casual, gender=Girls, color=Orange, id_dataset=35529)
sandals_39.jpg: Lotto Men Revorb Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=19141)
sandals_40.jpg: Red Tape Men Strappy Black Floater (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=7330)
shorts_1.jpg: Do U Speak Green Men Blue Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Blue, id_dataset=54924)
shorts_2.jpg: Allen Solly Women Red Shorts (articleType=Shorts, usage=Casual, gender=Women, color=Red, id_dataset=32903)
shorts_3.jpg: ONLY Women Brown Shorts (articleType=Shorts, usage=Casual, gender=Women, color=Brown, id_dataset=32590)
shorts_4.jpg: Allen Solly Kids Girls Poplin Pink Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Pink, id_dataset=34693)
shorts_5.jpg: Scullers Men Grey Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Grey, id_dataset=27625)
shorts_6.jpg: Gini and Jony Boys Grey Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Grey, id_dataset=31116)
shorts_7.jpg: Jealous 21 Women Blue Shorts (articleType=Shorts, usage=Casual, gender=Women, color=Blue, id_dataset=27027)
shorts_8.jpg: Gini and Jony Girls Woven Navy Blue Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Navy Blue, id_dataset=41007)
shorts_9.jpg: Doodle Kids Boy Striped Blue Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Blue, id_dataset=27215)
shorts_10.jpg: United Colors of Benetton Boys Khaki Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Khaki, id_dataset=29176)
shorts_11.jpg: Puma Men Black Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Black, id_dataset=58571)
shorts_12.jpg: Gini and Jony Girls Woven Blue Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Blue, id_dataset=41000)
shorts_13.jpg: Gini and Jony Girls Green Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Green, id_dataset=39328)
shorts_14.jpg: Gini and Jony Girl's Arella Blue Kidswear (articleType=Shorts, usage=Casual, gender=Women, color=Blue, id_dataset=5003)
shorts_15.jpg: Gini and Jony Boys Boxer White Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=White, id_dataset=40126)
shorts_16.jpg: Gini Jony Boys Blue Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Blue, id_dataset=39745)
shorts_17.jpg: Gini and Jony Boys Beige Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Beige, id_dataset=39319)
shorts_18.jpg: Palm Tree Girl's Benita Blue Kidswear (articleType=Shorts, usage=Casual, gender=Women, color=Blue, id_dataset=4980)
shorts_19.jpg: Scullers Men Cream Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Cream, id_dataset=27624)
shorts_20.jpg: Scullers Men Beige Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Beige, id_dataset=27623)
shorts_21.jpg: Do U Speak Green Men Cream Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Cream, id_dataset=54925)
shorts_22.jpg: Gini and Jony Girl's Fenil Bright Green Kidswear (articleType=Shorts, usage=Casual, gender=Women, color=Green, id_dataset=4989)
shorts_23.jpg: Superman Men Navy Blue Printed Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=41695)
shorts_24.jpg: Gini and Jony Boys Navy Blue Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Navy Blue, id_dataset=39320)
shorts_25.jpg: Puma Men Red Cat Logo Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Red, id_dataset=44922)
shorts_26.jpg: Nike Men Black Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Black, id_dataset=30634)
shorts_27.jpg: Gini and Jony Girls Green Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Green, id_dataset=39329)
shorts_28.jpg: Gini and Jony  Girls Woven Blue Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Blue, id_dataset=41001)
shorts_29.jpg: Gini and Jony Girl's Jolene Pink Kidswear (articleType=Shorts, usage=Casual, gender=Women, color=Pink, id_dataset=5002)
shorts_30.jpg: Gini and Jony Girls Woven Navy Blue Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Navy Blue, id_dataset=41006)
shorts_31.jpg: Doodle Kids Boy  Brown Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Brown, id_dataset=27214)
shorts_32.jpg: Jealous 21 Women Blue Cropped Denim Shorts (articleType=Shorts, usage=Casual, gender=Women, color=Blue, id_dataset=27026)
shorts_33.jpg: Gini and Jony Boys Black Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Black, id_dataset=41234)
shorts_34.jpg: United Colors of Benetton Boys Blue Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Blue, id_dataset=29177)
shorts_35.jpg: Doodle Girls Washed Black Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Black, id_dataset=34118)
shorts_36.jpg: Gini and Jony Boys Beach White Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=White, id_dataset=41977)
shorts_37.jpg: Gini and Jony Boys Khaki Bermuda Shorts (articleType=Shorts, usage=Casual, gender=Boys, color=Khaki, id_dataset=46732)
shorts_38.jpg: Nike Men Charcoal Grey Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Charcoal, id_dataset=43044)
shorts_39.jpg: French Connection Men Green & White Check Cargo Shorts (articleType=Shorts, usage=Casual, gender=Men, color=Green, id_dataset=48460)
shorts_40.jpg: Gini and Jony Girls Core Purple Shorts (articleType=Shorts, usage=Casual, gender=Girls, color=Purple, id_dataset=39830)
swimwear_1.jpg: Nabaiji Swimming Goggles Blue Black (articleType=Swimwear, usage=Sports, gender=Unisex, color=Blue, id_dataset=1638)
swimwear_2.jpg: Nabaiji Women Solid Black Swimsuit (articleType=Swimwear, usage=Sports, gender=Women, color=Black, id_dataset=21589)
swimwear_3.jpg: Nabaiji Women Black Swimsuit (articleType=Swimwear, usage=Sports, gender=Women, color=Black, id_dataset=1583)
swimwear_4.jpg: Amante Brown & Green Swimsuit WCSD03 (articleType=Swimwear, usage=Casual, gender=Women, color=Brown, id_dataset=42969)
swimwear_5.jpg: Nabaiji Unisex Black Silicone Swimming Cap (articleType=Swimwear, usage=Sports, gender=Unisex, color=Black, id_dataset=1582)
swimwear_6.jpg: ADIDAS Kid's Light Aqua Swimming Cap (articleType=Swimwear, usage=Sports, gender=Unisex, color=Blue, id_dataset=3464)
swimwear_7.jpg: ADIDAS Women Stripe Black Swimming Cap (articleType=Swimwear, usage=Sports, gender=Women, color=Black, id_dataset=2188)
swimwear_8.jpg: Amante Magenta Swimsuit WFSD05 (articleType=Swimwear, usage=Casual, gender=Women, color=Magenta, id_dataset=42973)
swimwear_9.jpg: Amante Brown Swimsuit WFSD06 (articleType=Swimwear, usage=Casual, gender=Women, color=Brown, id_dataset=42974)
swimwear_10.jpg: ADIDAS Unisex Black White Swimming Cap (articleType=Swimwear, usage=Sports, gender=Unisex, color=Black, id_dataset=3465)
swimwear_11.jpg: Amante Black Swimsuit WCSD07 (articleType=Swimwear, usage=Casual, gender=Women, color=Black, id_dataset=42972)
swimwear_12.jpg: Nabaiji Unisex Pink Swimming Cap (articleType=Swimwear, usage=Sports, gender=Unisex, color=Pink, id_dataset=24809)
swimwear_13.jpg: ADIDAS Women Swimming Purple Cap (articleType=Swimwear, usage=Sports, gender=Women, color=Purple, id_dataset=2247)
swimwear_14.jpg: Nabaiji Women Black Swimsuit (articleType=Swimwear, usage=Sports, gender=Women, color=Black, id_dataset=2562)
swimwear_15.jpg: Nabaiji Women Cross-back Swimsuit (articleType=Swimwear, usage=Sports, gender=Women, color=Black, id_dataset=1580)
swimwear_16.jpg: Amante Black Swimsuit WCSD04 (articleType=Swimwear, usage=Casual, gender=Women, color=Black, id_dataset=42970)
swimwear_17.jpg: Amante Pink & Blue Swimwear (articleType=Swimwear, usage=Casual, gender=Women, color=Pink, id_dataset=42971)
skirts_1.jpg: Urban Yoga Women Blue Skirt With Leggings (articleType=Skirts, usage=Sports, gender=Women, color=Blue, id_dataset=28456)
skirts_2.jpg: Mineral Women Grey Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Grey, id_dataset=49654)
skirts_3.jpg: Gini and Jony Girl's Delma Blue Kidswear (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=5004)
skirts_4.jpg: Gini and Jony Girls Red Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Red, id_dataset=33271)
skirts_5.jpg: Gini and Jony Girls Pink Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Pink, id_dataset=46813)
skirts_6.jpg: Palm Tree Girls Sp Jace Sko White Skirts (articleType=Skirts, usage=Casual, gender=Women, color=White, id_dataset=10000)
skirts_7.jpg: Mineral Blue & White Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=49636)
skirts_8.jpg: Gini and Jony Girls Pink Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Pink, id_dataset=46814)
skirts_9.jpg: United Colors of Benetton Kids Girls Washed Blue Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Blue, id_dataset=29171)
skirts_10.jpg: Mineral Pink & Green Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Pink, id_dataset=49655)
skirts_11.jpg: ONLY Women Pink Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Pink, id_dataset=32591)
skirts_12.jpg: Gini and Jony Girl's Vanida Blue Dungree Kidswear (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=4929)
skirts_13.jpg: Disney Kids Girl's Pooh Denim Blue Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Blue, id_dataset=3901)
skirts_14.jpg: Palm Tree Kids Girls Sp Jema Skt Blue Skirts (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=10001)
skirts_15.jpg: Gini & Jony Girls White Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=White, id_dataset=33270)
skirts_16.jpg: Gini and Jony Girl's Glinda Red Kidswear (articleType=Skirts, usage=Casual, gender=Women, color=Red, id_dataset=5005)
skirts_17.jpg: Palm Tree Kids Girl Sp Jace Sko Green Skirts (articleType=Skirts, usage=Casual, gender=Women, color=Green, id_dataset=11260)
skirts_18.jpg: Fabindia Women Printed Black Ghera Skirt (articleType=Skirts, usage=Ethnic, gender=Women, color=Black, id_dataset=30925)
skirts_19.jpg: Fabindia Women Printed Rust Skirt (articleType=Skirts, usage=Ethnic, gender=Women, color=Rust, id_dataset=30922)
skirts_20.jpg: Elle Women Yellow Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Yellow, id_dataset=57087)
skirts_21.jpg: Nike Women Running Black Skirt with Capris (articleType=Skirts, usage=Sports, gender=Women, color=Black, id_dataset=31605)
skirts_22.jpg: Elle Women Blue Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Navy Blue, id_dataset=57089)
skirts_23.jpg: Fabindia Women Printed Mustard Skirt (articleType=Skirts, usage=Ethnic, gender=Women, color=Mustard, id_dataset=30923)
skirts_24.jpg: Fabindia Women Printed Beige Ghera Skirt (articleType=Skirts, usage=Ethnic, gender=Women, color=Beige, id_dataset=30924)
skirts_25.jpg: Doodle Kids Girl Printed Grey Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Grey, id_dataset=27199)
skirts_26.jpg: Nike Women's Border Pink Skirt (articleType=Skirts, usage=Sports, gender=Women, color=Pink, id_dataset=6532)
skirts_27.jpg: Nike Women Tennis Black Skirt (articleType=Skirts, usage=Sports, gender=Women, color=Black, id_dataset=31454)
skirts_28.jpg: Elle Women Teal Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Teal, id_dataset=57088)
skirts_29.jpg: Elle Women Pink Vintage Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Pink, id_dataset=57086)
skirts_30.jpg: Doodle Kids Girl Washed Blue Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=33508)
skirts_31.jpg: Elle Women Off White Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Off White, id_dataset=57092)
skirts_32.jpg: Jealous 21 Women Navy Blue Skirts (articleType=Skirts, usage=Casual, gender=Women, color=Navy Blue, id_dataset=26863)
skirts_33.jpg: Fabindia Women Red Skirts (articleType=Skirts, usage=Ethnic, gender=Women, color=Red, id_dataset=32252)
skirts_34.jpg: Doodle Kids Girl Washed Blue Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Blue, id_dataset=27231)
skirts_35.jpg: Femella Women Black Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Black, id_dataset=25930)
skirts_36.jpg: Forever New Women's Animal Stroke Print Black Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Black, id_dataset=6857)
skirts_37.jpg: Femella Women Red Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Red, id_dataset=25931)
skirts_38.jpg: Levis Kids Girl's Betsy Navy Kidswear (articleType=Skirts, usage=Casual, gender=Women, color=Navy Blue, id_dataset=5019)
skirts_39.jpg: Gini and Jony Girls Pink Skirt (articleType=Skirts, usage=Casual, gender=Girls, color=Pink, id_dataset=42290)
skirts_40.jpg: Forever New Women's Short Black Skirt (articleType=Skirts, usage=Casual, gender=Women, color=Black, id_dataset=6860)
sunglasses_1.jpg: Image Men Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=16957)
sunglasses_2.jpg: Ray-Ban Men Active Lifestyle Copper Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Copper, id_dataset=28200)
sunglasses_3.jpg: Louis Philippe Men Grey Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Grey, id_dataset=51667)
sunglasses_4.jpg: Pal Zileri Men Casual Gold Frame Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Gold, id_dataset=21346)
sunglasses_5.jpg: Van Heusen Unisex Brown Sunglasses (articleType=Sunglasses, usage=Casual, gender=Unisex, color=Brown, id_dataset=51693)
sunglasses_6.jpg: Ray-Ban Men Active Lifestyle Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=28207)
sunglasses_7.jpg: Image Men Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Brown, id_dataset=16950)
sunglasses_8.jpg: Park Avenue Men Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=30668)
sunglasses_9.jpg: Van Heusen Unisex Sunglasses VH216-C2 (articleType=Sunglasses, usage=Casual, gender=Unisex, color=Brown, id_dataset=51694)
sunglasses_10.jpg: Pal Zileri Men Casual Steel Frame Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Steel, id_dataset=21341)
sunglasses_11.jpg: United Colors of Benetton Women Sunglass (articleType=Sunglasses, usage=Casual, gender=Women, color=Black, id_dataset=49662)
sunglasses_12.jpg: United Colors of Benetton Women Casual Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Black, id_dataset=20860)
sunglasses_13.jpg: Vogue Women White Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=White, id_dataset=29125)
sunglasses_14.jpg: Pal Zileri Men Casual Metal Frame Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Silver, id_dataset=21348)
sunglasses_15.jpg: Louis Philippe Men Grey Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Silver, id_dataset=51669)
sunglasses_16.jpg: Image Women Classic Eyewear Brown Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Brown, id_dataset=16959)
sunglasses_17.jpg: Park Avenue Men Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=30661)
sunglasses_18.jpg: Fastrack Men UV protected Sporty Wrap Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=40172)
sunglasses_19.jpg: Fastrack Unisex Brown Sunglasses (articleType=Sunglasses, usage=Casual, gender=Unisex, color=Brown, id_dataset=8784)
sunglasses_20.jpg: United Colors of Benetton Men Sunglass (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=49665)
sunglasses_21.jpg: Image Men Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=16961)
