Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

dresses_1.jpg: Arrow Woman Women Blue Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=39716)
dresses_39.jpg: Femella Women Multi Coloured Dress (articleType=Dresses, usage=Casual, gender=Women, color=Multi, id_dataset=59896)
dresses_40.jpg: Gini and Jony Girls White Dress (articleType=Dresses, usage=Casual, gender=Girls, color=White, id_dataset=31126)
heels_1.jpg: Rocia Women Black Flats (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=54118)
heels_2.jpg: Catwalk Women Leather Flats (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=2872)
heels_3.jpg: Catwalk Women Gun Metal Grey Heels (articleType=Heels, usage=Casual, gender=Women, color=Grey, id_dataset=11518)
heels_4.jpg: Rocia Women Black Heels (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=54127)
heels_5.jpg: Catwalk Women Golden Wedges (articleType=Heels, usage=Casual, gender=Women, color=Gold, id_dataset=55657)
heels_6.jpg: Enroute Women Casual Black Flats (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=14431)
heels_7.jpg: Enroute Women Casual White Heels (articleType=Heels, usage=Casual, gender=Women, color=White, id_dataset=14409)
heels_8.jpg: Rocia Women Black Shoes (articleType=Heels, usage=Formal, gender=Women, color=Black, id_dataset=34455)
heels_9.jpg: Catwalk Women Casual Black Heels (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=20267)
heels_10.jpg: Catwalk Women Multi-coloured Heels (articleType=Heels, usage=Casual, gender=Women, color=Multi, id_dataset=55650)
heels_11.jpg: Inc.5  Women Grey Flats (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=22539)
heels_12.jpg: Rocia Women Beige Flats (articleType=Heels, usage=Casual, gender=Women, color=Beige, id_dataset=54129)
heels_13.jpg: Rocia Women Brown Wedges (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=57303)
heels_14.jpg: Catwalk Women Lifestyle Black Heels (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=11516)
heels_15.jpg: Enroute Women Turquoise Blue Flats (articleType=Heels, usage=Casual, gender=Women, color=Turquoise Blue, id_dataset=35783)
heels_16.jpg: Catwalk Women Red Flats (articleType=Heels, usage=Casual, gender=Women, color=Red, id_dataset=46615)
heels_17.jpg: Clarks Women Brown Leather Heels (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=10292)
heels_18.jpg: Clarks Women Cream Coloured Onslow Beat Leather Wedges (articleType=Heels, usage=Casual, gender=Women, color=Cream, id_dataset=50784)
heels_19.jpg: Catwalk Women Wedding Heeled Bronze Heels (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=2888)
heels_20.jpg: Rockport Women Jeanie Oneband Brown Flats (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=15526)
heels_21.jpg: Rocia Women Maroon Sandals (articleType=Heels, usage=Casual, gender=Women, color=Maroon, id_dataset=54116)
heels_22.jpg: Catwalk Women Silver Flats (articleType=Heels, usage=Casual, gender=Women, color=Silver, id_dataset=27080)
heels_23.jpg: Catwalk Women Blue & White Sandals (articleType=Heels, usage=Casual, gender=Women, color=Blue, id_dataset=53139)
heels_24.jpg: Portia Women Brown Sandals (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=56679)
heels_25.jpg: Catwalk Women Bronze Heels (articleType=Heels, usage=Casual, gender=Women, color=Bronze, id_dataset=43951)
heels_26.jpg: Enroute Women Casual Yellow Heels (articleType=Heels, usage=Casual, gender=Women, color=Yellow, id_dataset=14438)
heels_27.jpg: Rocia Women Copper Flats (articleType=Heels, usage=Casual, gender=Women, color=Copper, id_dataset=54111)
heels_28.jpg: Clarks Women Black Onslow Beat Leather Wedges (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=50783)
heels_29.jpg: Catwalk Women Brown Wedges (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=46612)
heels_30.jpg: Catwalk Women Brown Heels (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=30692)
heels_31.jpg: Rocia Women Brown Wedges (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=57304)
heels_32.jpg: Carlton London Women Stylish Gold Flats (articleType=Heels, usage=Casual, gender=Women, color=Gold, id_dataset=2611)
heels_33.jpg: HM Women Silver Heels (articleType=Heels, usage=Casual, gender=Women, color=Silver, id_dataset=56878)
heels_34.jpg: Catwalk Women Heeded Golden Strap Black Heels (articleType=Heels, usage=Casual, gender=Women, color=Gold, id_dataset=3135)
heels_35.jpg: Rocia Women Brown Heels (articleType=Heels, usage=Formal, gender=Women, color=Brown, id_dataset=17010)
heels_36.jpg: Rocia Women Brown Flats (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=54145)
heels_37.jpg: Portia Women Brown Heels (articleType=Heels, usage=Casual, gender=Women, color=Brown, id_dataset=47552)
heels_38.jpg: Catwalk Women Multi Colour Flats (articleType=Heels, usage=Casual, gender=Women, color=Multi, id_dataset=39579)
heels_39.jpg: Enroute Women Casual Black Flats (articleType=Heels, usage=Casual, gender=Women, color=Black, id_dataset=14453)
heels_40.jpg: Catwalk Women Gold Heels (articleType=Heels, usage=Casual, gender=Women, color=Gold, id_dataset=55635)
clutches_1.jpg: Spice Art Women Ribbon Embroidery Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=20851)
clutches_2.jpg: Yelloe Off White Fur Zip Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Off White, id_dataset=27045)
clutches_3.jpg: Rocky S Women Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=58170)
clutches_4.jpg: Lino Perros Women Silver Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Silver, id_dataset=25143)
clutches_5.jpg: Yelloe Black Animal Print Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=27042)
clutches_6.jpg: French Connection Women Black Buffy Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=42879)
clutches_7.jpg: Wills Lifestyle Women Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=37640)
clutches_8.jpg: French Connection Women Beige Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Beige, id_dataset=42884)
clutches_9.jpg: Murcia Women Casual Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=21979)
clutches_10.jpg: Peperone Women Yellow Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Yellow, id_dataset=35925)
clutches_11.jpg: French Connection Women Grey Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Grey, id_dataset=47961)
clutches_12.jpg: Fabindia Women Green Silk Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Green, id_dataset=31915)
clutches_13.jpg: Baggit Women Green purse (articleType=Clutches, usage=Casual, gender=Women, color=Green, id_dataset=47304)
clutches_14.jpg: Lino Perros Women Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=25126)
clutches_15.jpg: Lino Perros Women Gems Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=25119)
clutches_16.jpg: Lino Perros Women Gem Ring Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=25121)
clutches_17.jpg: Baggit Women Black Purse (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=47303)
clutches_18.jpg: Lino Perros Women Beaded Pink Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Pink, id_dataset=25117)
clutches_19.jpg: Spice Art Women Copper Leartherite Multi Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Copper, id_dataset=16751)
clutches_20.jpg: Lino Perros Women Gems Silver Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Silver, id_dataset=25128)
clutches_21.jpg: Allen Solly Woman Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=35144)
clutches_22.jpg: Spice Art Women Shimmer Silver Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Silver, id_dataset=16769)
clutches_23.jpg: Fabindia Women Braided Blue Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Blue, id_dataset=31914)
clutches_24.jpg: French Connection Women Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=42876)
clutches_25.jpg: Baggit Women Black Purse (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=38435)
clutches_26.jpg: Pitaraa Women Maroon Purse (articleType=Clutches, usage=Casual, gender=Women, color=Maroon, id_dataset=48326)
clutches_27.jpg: French Connection Women Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=42849)
clutches_28.jpg: Peperone Women Brown & Blue Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Brown, id_dataset=35923)
clutches_29.jpg: French Connection Women Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=42871)
clutches_30.jpg: French Connection Women Copper Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Copper, id_dataset=42885)
clutches_31.jpg: Baggit Women Brown Affair Hoor Purse (articleType=Clutches, usage=Casual, gender=Women, color=Brown, id_dataset=47356)
clutches_32.jpg: Spice Art Women Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=59433)
clutches_33.jpg: French Connection Women Black Purse (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=42847)
clutches_34.jpg: Lino Perros Women Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=25142)
clutches_35.jpg: Murcia Women Casual Gold Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Gold, id_dataset=21982)
clutches_36.jpg: Spice Art Women White Beaded Elastic Flower Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Green, id_dataset=20850)
clutches_37.jpg: Yelloe Black Fur Zip Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=27044)
clutches_38.jpg: Spice Art Women Beaded Bow Black Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Black, id_dataset=16757)
clutches_39.jpg: Allen Solly Woman Red Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Red, id_dataset=35145)
clutches_40.jpg: Lino Perros Women Beads Silver Clutch (articleType=Clutches, usage=Casual, gender=Women, color=Silver, id_dataset=25116)
jumpsuit_1.jpg: Arrow Woman Olive Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Olive, id_dataset=39720)
jumpsuit_2.jpg: French Connection Women Blue Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Blue, id_dataset=48522)
jumpsuit_3.jpg: French Connection Women Magenta Playsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Magenta, id_dataset=48523)
jumpsuit_4.jpg: United Colors of Benetton Women Brown Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Brown, id_dataset=57812)
jumpsuit_5.jpg: French Connection Women Orange Playsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Orange, id_dataset=43679)
jumpsuit_6.jpg: ONLY Women Multi Coloured Short Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Multi, id_dataset=43655)
jumpsuit_7.jpg: Forever New Women White Playsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=White, id_dataset=57034)
jumpsuit_8.jpg: United Colors of Benetton Women Black Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Black, id_dataset=43317)
jumpsuit_9.jpg: French Connection Women Blue Playsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Blue, id_dataset=43674)
jumpsuit_10.jpg: Elle Women Blue Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Blue, id_dataset=57079)
jumpsuit_11.jpg: United Colors of Benetton Women Purple  Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Purple, id_dataset=57811)
jumpsuit_12.jpg: French Connection Women Multi Coloured Playsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Pink, id_dataset=43675)
jumpsuit_13.jpg: Elle Women Black Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Black, id_dataset=57078)
jumpsuit_14.jpg: Tonga Women Beige Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Olive, id_dataset=40427)
jumpsuit_15.jpg: ONLY Women Peach Short Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Peach, id_dataset=43666)
jumpsuit_16.jpg: United Colors of Benetton Women Printed Teal Jumpsuit (articleType=Jumpsuit, usage=Casual, gender=Women, color=Teal, id_dataset=37204)
