Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

tshirts_1.jpg: Puma Men Grey T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Grey, id_dataset=53759)
jeans_32.jpg: Gini and Jony Boys Comics Blue Jeans (articleType=Jeans, usage=Casual, gender=Boys, color=Blue, id_dataset=40925)
jeans_33.jpg: Spykar Women Liana Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=36732)
jeans_34.jpg: Jealous 21 Women Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=27016)
jeans_35.jpg: John Players Men Navy Regular Fit Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Navy Blue, id_dataset=56849)
jeans_36.jpg: United Colors of Benetton Women Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=29178)
jeans_37.jpg: Lee Womens Blue Jeggings (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=50947)
jeans_38.jpg: Gini and Jony Girls Woven Navy Blue Jeans (articleType=Jeans, usage=Casual, gender=Girls, color=Navy Blue, id_dataset=41009)
jeans_39.jpg: Jack & Jones Men Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=44923)
jeans_40.jpg: Deni Yo Men Skinny Fit Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=24204)
shirts_1.jpg: Turtle Check Men Navy Blue Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=15970)
shirts_2.jpg: Jealous 21 Women Purple Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Purple, id_dataset=26960)
shirts_3.jpg: John Players Men Brown Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Brown, id_dataset=56825)
shirts_4.jpg: Gini and Jony Boy's Kaleb White Brown Kidswear (articleType=Shirts, usage=Casual, gender=Men, color=White, id_dataset=4943)
shirts_5.jpg: Indigo Nation Men Reversible Bling Pink Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Pink, id_dataset=9660)
shirts_6.jpg: Turtle Check Men Yellow Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Yellow, id_dataset=15984)
shirts_7.jpg: U.S. Polo Assn. Men White & Navy Blue Shirt (articleType=Shirts, usage=Casual, gender=Men, color=White, id_dataset=59297)
shirts_8.jpg: Scullers Men  Green Check Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Green, id_dataset=7158)
shirts_9.jpg: Levis Men Check Red Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Red, id_dataset=16392)
shirts_10.jpg: Spykar Men Black and white Check Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Black, id_dataset=6617)
shirts_11.jpg: Mark Taylor Men Striped Blue Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=22395)
shirts_12.jpg: United Colors of Benetton Men Short Black Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Black, id_dataset=12500)
shirts_13.jpg: Locomotive Men Check Red Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Red, id_dataset=16530)
shirts_14.jpg: Scullers Men Scul Purple White Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Purple, id_dataset=7167)
shirts_15.jpg: Basics Men Blue Slim Fit Checked Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=12190)
shirts_16.jpg: Flying Machine Men Check Green Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Green, id_dataset=14055)
shirts_17.jpg: Palm Tree Boys Check Blue Shirt (articleType=Shirts, usage=Casual, gender=Boys, color=Blue, id_dataset=34036)
shirts_18.jpg: Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=8779)
shirts_19.jpg: Scullers Men Price Catch Black Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Black, id_dataset=11143)
shirts_20.jpg: United Colors Of Benetton Men Summer Black Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Black, id_dataset=11371)
shirts_21.jpg: John Miller Men Stripes Blue Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=13846)
shirts_22.jpg: Turtle Solid Men  Burgundy Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Burgundy, id_dataset=15983)
shirts_23.jpg: Indigo Nation Men Checks Shirt Navy Blue Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=8741)
shirts_24.jpg: John Players Men Check Blue Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=22359)
shirts_25.jpg: Gini and Jony Boy's Kaleb White Brown Infant Kidswear (articleType=Shirts, usage=Casual, gender=Men, color=White, id_dataset=4944)
shirts_26.jpg: Indigo Nation Men Bling Red Black Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Purple, id_dataset=9667)
shirts_27.jpg: Scullers Men Red Check Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Red, id_dataset=8587)
shirts_28.jpg: Arrow Woman Blue Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Blue, id_dataset=26369)
shirts_29.jpg: Doodle Kids Boy Check Green Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Green, id_dataset=33489)
shirts_30.jpg: Turtle Solid Men Red Shirt (articleType=Shirts, usage=Casual, gender=Men, color=Red, id_dataset=15977)
shirts_31.jpg: Gini and Jony Boys Check Blue Shirt (articleType=Shirts, usage=Casual, gender=Boys, color=Blue, id_dataset=34031)
shirts_32.jpg: Scullers Men Price Catch Black Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Black, id_dataset=11144)
shirts_33.jpg: Flying Machine Men Solid White Shirts (articleType=Shirts, usage=Casual, gender=Men, color=White, id_dataset=14052)
shirts_34.jpg: Lee Men Solid Blue Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=11712)
shirts_35.jpg: Wrangler Women Stella Green Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Green, id_dataset=25527)
shirts_36.jpg: Scullers Men Check Red Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Red, id_dataset=13879)
shirts_37.jpg: Jealous 21 Women Teal Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Teal, id_dataset=26958)
shirts_38.jpg: Gini and Jony Kids Boys Check Blue Shirts (articleType=Shirts, usage=Casual, gender=Men, color=Blue, id_dataset=13283)
shirts_39.jpg: United Colors of Benetton Women Purple Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Purple, id_dataset=37224)
shirts_40.jpg: s.Oliver Women Grey Shirt (articleType=Shirts, usage=Casual, gender=Women, color=Grey, id_dataset=21173)
tops_1.jpg: Gini and Jony Girls Knit White Top (articleType=Tops, usage=Casual, gender=Girls, color=White, id_dataset=42419)
tops_2.jpg: Mineral Women Green Top (articleType=Tops, usage=Casual, gender=Women, color=Green, id_dataset=49653)
tops_3.jpg: Tonga Women Maroon Top (articleType=Tops, usage=Casual, gender=Women, color=Off White, id_dataset=58513)
tops_4.jpg: Gini and Jony Girls Black Top (articleType=Tops, usage=Casual, gender=Girls, color=Black, id_dataset=34009)
tops_5.jpg: Lee Women Paula Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Blue, id_dataset=31782)
tops_6.jpg: Gini and Jony Girls Pretty Blossom Blue Top (articleType=Tops, usage=Casual, gender=Girls, color=Blue, id_dataset=40143)
tops_7.jpg: s.Oliver Women Stripes Beige Top (articleType=Tops, usage=Casual, gender=Women, color=Beige, id_dataset=21174)
tops_8.jpg: Doodle Kids Girls Pink I love Shopping Top (articleType=Tops, usage=Casual, gender=Girls, color=Pink, id_dataset=23623)
tops_9.jpg: Jealous 21 Women Uaine Purple Tops (articleType=Tops, usage=Casual, gender=Women, color=Purple, id_dataset=10401)
tops_10.jpg: United Colors of Benetton Women Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Blue, id_dataset=37223)
tops_11.jpg: Doodle Kids Girls City Chic White Top (articleType=Tops, usage=Casual, gender=Girls, color=White, id_dataset=25520)
tops_12.jpg: ONLY Women Black Top (articleType=Tops, usage=Casual, gender=Women, color=Black, id_dataset=32597)
tops_13.jpg: Elle Women Dark Pink Top (articleType=Tops, usage=Casual, gender=Women, color=Pink, id_dataset=57100)
tops_14.jpg: United Colors of Benetton Women Solid Purple Top (articleType=Tops, usage=Casual, gender=Women, color=Purple, id_dataset=19578)
tops_15.jpg: Scullers For Her Women Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Blue, id_dataset=27879)
tops_16.jpg: Palm Tree Kids Girls Printed White Tops (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=13270)
tops_17.jpg: Palm Tree Girls Pink Top (articleType=Tops, usage=Casual, gender=Girls, color=Pink, id_dataset=31120)
tops_18.jpg: Tokyo Talkies Women Yellow Top (articleType=Tops, usage=Casual, gender=Women, color=Yellow, id_dataset=40385)
tops_19.jpg: Sepia Women Printed Magenta Top (articleType=Tops, usage=Casual, gender=Women, color=Magenta, id_dataset=33213)
tops_20.jpg: Arrow Woman Olive Top (articleType=Tops, usage=Casual, gender=Women, color=Olive, id_dataset=39729)
tops_21.jpg: Wrangler Women White Smocked Top (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=41401)
tops_22.jpg: French Connection Women Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Blue, id_dataset=43538)
tops_23.jpg: Gini and Jony Girls Red Top (articleType=Tops, usage=Casual, gender=Girls, color=Red, id_dataset=31118)
tops_24.jpg: Tonga Women Grey Top (articleType=Tops, usage=Casual, gender=Women, color=Grey, id_dataset=58514)
tops_25.jpg: Sepia Women Pink Top (articleType=Tops, usage=Casual, gender=Women, color=Pink, id_dataset=42248)
tops_26.jpg: Flying Machine Women Solid Pink Tops (articleType=Tops, usage=Casual, gender=Women, color=Pink, id_dataset=14099)
tops_27.jpg: Jealous 21 Women Check Navy Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Navy Blue, id_dataset=26967)
tops_28.jpg: United Colors Of Benetton Women Light Winter Grey Tops (articleType=Tops, usage=Casual, gender=Women, color=Grey, id_dataset=11376)
tops_29.jpg: Tokyo Talkies Women Pink Top (articleType=Tops, usage=Casual, gender=Women, color=Pink, id_dataset=40382)
tops_30.jpg: Elle Women Green Essentials Top (articleType=Tops, usage=Casual, gender=Women, color=Olive, id_dataset=57107)
tops_31.jpg: Tokyo Talkies Women Yellow Top (articleType=Tops, usage=Casual, gender=Women, color=Yellow, id_dataset=40376)
tops_32.jpg: Gini and Jony Girls Pretty Blossom Pink Top (articleType=Tops, usage=Casual, gender=Girls, color=Pink, id_dataset=40144)
tops_33.jpg: Doodle Kids Girls White I love Shopping Top (articleType=Tops, usage=Casual, gender=Girls, color=White, id_dataset=23624)
tops_34.jpg: Jealous 21 Women's BFF Printed White Top (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=7194)
tops_35.jpg: ADIDAS Women Whalf Striper White Top (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=22392)
tops_36.jpg: Lee Women Katie Navy Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Navy Blue, id_dataset=31785)
tops_37.jpg: Tonga Women White & Pink Top (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=51452)
tops_38.jpg: ONLY Women Black Top (articleType=Tops, usage=Casual, gender=Women, color=Black, id_dataset=32599)
tops_39.jpg: United Colors of Benetton Women White Top (articleType=Tops, usage=Casual, gender=Women, color=White, id_dataset=19576)
tops_40.jpg: Tokyo Talkies Women Blue Top (articleType=Tops, usage=Casual, gender=Women, color=Blue, id_dataset=59404)
sweaters_1.jpg: United Colors of Benetton Men Solid Blue Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Blue, id_dataset=19540)
sweaters_2.jpg: United Colors Of Benetton Men Heavy Winter Grey Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Grey, id_dataset=11529)
sweaters_3.jpg: Scullers Men Stripes Red Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Red, id_dataset=11172)
sweaters_4.jpg: Scullers Men Stripes White Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=White, id_dataset=11175)
sweaters_5.jpg: United Colors of Benetton Men Check Grey Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Grey, id_dataset=19525)
sweaters_6.jpg: United Colors of Benetton Men Check Navy Blue Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Navy Blue, id_dataset=19522)
sweaters_7.jpg: Wrangler Women Felt Grey Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Red, id_dataset=20233)
sweaters_8.jpg: Proline Navy Striped Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Navy Blue, id_dataset=13812)
sweaters_9.jpg: s.Oliver Men Solid Purple Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Purple, id_dataset=21120)
sweaters_10.jpg: Jealous 21 Women Stripes Red Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Red, id_dataset=18200)
sweaters_11.jpg: Scullers Men Stripes Green Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Green, id_dataset=11174)
sweaters_12.jpg: United Colors of Benetton Women Grey Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Grey, id_dataset=20091)
sweaters_13.jpg: Flying Machine Women Solid Peach Sweaters (articleType=Sweaters, usage=Casual, gender=Women, color=Peach, id_dataset=14091)
sweaters_14.jpg: Scullers Men Stripes Red Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Red, id_dataset=11173)
sweaters_15.jpg: Wrangler Women Felt Blue Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Blue, id_dataset=20232)
sweaters_16.jpg: s.Oliver Men Black Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Black, id_dataset=21119)
sweaters_17.jpg: United Colors of Benetton Men Solid Blue Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Blue, id_dataset=19515)
sweaters_18.jpg: s.Oliver Men Solid Charcoal Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Charcoal, id_dataset=21110)
sweaters_19.jpg: United Colors of Benetton Men Grey Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Grey, id_dataset=19523)
sweaters_20.jpg: United Colors of Benetton Men Solid Blue Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Blue, id_dataset=19524)
sweaters_21.jpg: U.S. Polo Assn. Men Stripes Green Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Green, id_dataset=17197)
sweaters_22.jpg: U.S. Polo Assn. Men Striped Grey Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Grey, id_dataset=19809)
sweaters_23.jpg: U.S. Polo Assn. Men Solid Grey Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Grey, id_dataset=17199)
sweaters_24.jpg: Jealous 21 Women Solid Pink Sweaters (articleType=Sweaters, usage=Casual, gender=Women, color=Pink, id_dataset=13961)
sweaters_25.jpg: Nike Men Solid Black Sweater (articleType=Sweaters, usage=Sports, gender=Men, color=Black, id_dataset=22625)
sweaters_26.jpg: Spykar Men Rts Vneck Black Black Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Black, id_dataset=8833)
sweaters_27.jpg: Roxy Women Grey Striped Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Grey, id_dataset=21602)
sweaters_28.jpg: Provogue Men Black Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Black, id_dataset=23951)
sweaters_29.jpg: Scullers For Her Women Solid Black Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Black, id_dataset=20347)
sweaters_30.jpg: Puma Men Knitted Red Sweaters (articleType=Sweaters, usage=Casual, gender=Men, color=Red, id_dataset=10572)
sweaters_31.jpg: ADIDAS Men Frnt Str Black Sweaters (articleType=Sweaters, usage=Sports, gender=Men, color=Black, id_dataset=9946)
sweaters_32.jpg: Roxy Women Grey Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Grey, id_dataset=21464)
sweaters_33.jpg: ADIDAS Women Stripes Grey Sweaters (articleType=Sweaters, usage=Casual, gender=Women, color=Grey, id_dataset=15038)
sweaters_34.jpg: Arrow Woman Venetia Navy Blue Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Navy Blue, id_dataset=18727)
sweaters_35.jpg: ADIDAS Women Stripes Pink Sweaters (articleType=Sweaters, usage=Casual, gender=Women, color=Pink, id_dataset=15031)
sweaters_36.jpg: ADIDAS Women Stripes Blue Sweaters (articleType=Sweaters, usage=Casual, gender=Women, color=Blue, id_dataset=15036)
sweaters_37.jpg: Arrow Woman Keisha Magenta Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Magenta, id_dataset=18729)
sweaters_38.jpg: Wills Lifestyle Men Striped Green Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Green, id_dataset=18311)
sweaters_39.jpg: Scullers For Her Women Solid Pink Sweater (articleType=Sweaters, usage=Casual, gender=Women, color=Pink, id_dataset=20346)
sweaters_40.jpg: U.S. Polo Assn. Men Solid Black Sweater (articleType=Sweaters, usage=Casual, gender=Men, color=Black, id_dataset=17198)
